,Date,Open,High,Low,Close,Adj Close,Volume,Percentage,Daily Returns %,Moving AGV 7 Day,Moving AGV 30 Day,Year
1789,2017-08-07,71.470001,71.896004,70.550003,71.033997,71.033997,31622500,-0.6137962361881409,-0.48752764072019783,67.51914314285715,67.42793333333333,2017
1790,2017-08-08,71.505997,73.716003,71.480003,73.043999,73.043999,37249000,2.1055829651385953,2.829633816044441,68.38057157142858,67.34613326666667,2017
1791,2017-08-09,72.199997,74.0,71.790001,72.706001,72.706001,34460500,0.695959058455167,-0.46273205824889363,69.52514314285715,67.35386666666666,2017
1792,2017-08-10,72.32,73.330002,70.931999,71.080002,71.080002,35464500,-1.744510361718898,-2.2364027420515242,70.54885757142857,67.2482667,2017
1793,2017-08-11,71.393997,72.251999,70.723999,71.573997,71.573997,21829000,0.2514879810331213,0.6949845049244896,71.46257128571429,67.22906653333332,2017
1794,2017-08-14,72.926003,73.531998,72.519997,72.760002,72.760002,22596000,-0.2281487018100883,1.6570333496954026,71.94000028571428,67.24366663333333,2017
1795,2017-08-15,73.040001,73.098,71.874001,72.466003,72.466003,15425500,-0.7920928107487908,-0.4040667838354328,72.09485728571428,67.30839999999999,2017
1796,2017-08-16,72.599998,73.300003,72.503998,72.582001,72.582001,17069000,-0.02479540347750132,0.1600723031460749,72.3160007142857,67.54720006666666,2017
1797,2017-08-17,72.241997,72.660004,70.318001,70.384003,70.384003,25138500,-2.639795863841377,-3.028296230080507,71.93600128571428,67.83446686666667,2017
1798,2017-08-18,70.582001,70.800003,69.160004,69.491997,69.491997,27041000,-1.5685316972543006,-1.2673419555293108,71.47685785714286,68.0627334,2017
1799,2017-08-21,69.164001,69.164001,66.370003,67.571999,67.571999,32477000,-2.356008440715205,-2.7629052018752542,70.97571457142858,68.20813340000001,2017
1800,2017-08-22,68.225998,68.447998,67.473999,68.269997,68.269997,21610000,0.06444851608825976,1.0329692925023615,70.50371457142857,68.30233330000002,2017
1801,2017-08-23,67.797997,70.697998,67.660004,70.554001,70.554001,24772500,3.9062334678936272,3.345545774668768,70.18857157142858,68.45733336666667,2017
1802,2017-08-24,70.503998,71.332001,69.947998,70.585999,70.585999,22923500,0.11617176375162631,0.04535249531774088,69.91999957142858,68.65413336666667,2017
1803,2017-08-25,70.848,71.138,69.459999,69.610001,69.610001,17420000,-1.7784786413090299,-1.382707638663594,69.49542814285715,68.78926673333333,2017
1804,2017-08-28,69.456001,69.470001,67.944,69.132004,69.132004,18820000,-0.4686642672762758,-0.6866786282620496,69.31657114285714,68.96320016666667,2017
1805,2017-08-29,67.896004,69.809998,67.75,69.472,69.472,20368500,2.268534085674789,0.4918069494991073,69.31371442857143,69.09066673333334,2017
1806,2017-08-30,69.933998,70.694,69.400002,70.636002,70.636002,17064500,0.9938331447467854,1.6754980423768107,69.75142914285713,69.27680006666667,2017
1807,2017-08-31,70.709999,71.688004,70.564003,71.18,71.18,20364000,0.6602992413599473,0.7701426816313806,70.16714385714286,69.45000003333332,2017
1808,2017-09-01,71.223999,71.517998,70.737999,71.080002,71.080002,15247500,-0.20258440623005758,-0.14048609159877934,70.24228685714286,69.63000009999999,2017
1809,2017-09-05,70.760002,71.098,69.178001,69.917999,69.917999,19175500,-1.2042721645967092,-1.6347818898485689,70.14685828571427,69.67713346666666,2017
1810,2017-09-06,69.900002,70.195999,68.311996,68.905998,68.905998,20457000,-1.4425507631425698,-1.4474112738838474,70.04628642857143,69.71000013333332,2017
1811,2017-09-07,69.195999,70.496002,68.690002,70.122002,70.122002,21196000,1.3205598436850026,1.7647288121420024,70.18771471428572,69.75506696666666,2017
1812,2017-09-08,69.797997,69.956001,68.459999,68.68,68.68,16317500,-1.6278348864298025,-2.056418754273426,70.07457185714286,69.81466703333334,2017
1813,2017-09-11,70.269997,72.741997,70.0,72.737999,72.737999,38335500,3.3930023288102804,5.908559988351758,70.37485714285715,70.005467,2017
1814,2017-09-12,72.898003,73.751999,72.080002,72.550003,72.550003,29864500,-0.47966917382484314,-0.25845638123753734,70.57057185714287,70.26733376666667,2017
1815,2017-09-13,72.764,73.613998,71.917999,73.246002,73.246002,20926000,0.658059125192947,0.9593369692900033,70.88000042857142,70.57840046666666,2017
1816,2017-09-14,72.865997,75.592003,72.526001,75.528,75.528,36012500,3.5245246795890433,3.1155256774287876,71.68142914285714,70.92340043333333,2017
